"","STATUS","unique_id","title","meets_inclusion_criteria","source","professional_medical_society_code","professional_medical_society","link","publication_reaffirmation_date","year"
"665","Published",85,"WHO recommendation on duration of bladder catheterization after surgical repair of simple obstetric urinary fistula.",TRUE,"World Health Organization (WHO). WHO recommendation on duration of bladder catheterization after surgical repair of simple obstetric urinary fistula. Geneva (Switzerland)  World Health Organization (WHO); 2018. 25 p.  [12 references ]","[4dae77f6329f57c8a923a1c944661c1f,]","[World Health Organization (WHO), ]","http //apps.who.int/iris/bitstream/handle/10665/259818/9789241550192-eng.pdf%3bjsessionid=3DD282B19BC91E1585B349785FCA4C23?sequence=1","2018",2018
"666","Published",115,"Use of larynx-preservation strategies in the treatment of laryngeal cancer.",TRUE,"Forastiere AA, Ismaila N, Lewin JS, Nathan CA, Adelstein DJ, Eisbruch A, Fass G, Fisher SG, Laurie SA, Le Q, O’Malley B, Mendenhall WM, Patel S, Pfister DG, Provenzano AF, Weber R, Weinstein GS, Wolf GT. Use of larynx-preservation strategies in the treatment of laryngeal cancer  American Society of Clinical Oncology clinical practice guideline update. J Clin Oncol. 2018 Apr 10;36(11) 1143-69.  [240 references ] [PubMed](https //www.ncbi.nlm.nih.gov/pubmed/29172863  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]","http //ascopubs.org/doi/pdf/10.1200/JCO.2017.75.7385","2018 Apr 10",2018
"667","Published",116,"Metastatic pancreatic cancer  ASCO guideline update.",TRUE,"Sohal DPS, Kennedy EB, Cinar P, Conroy T, Copur MS, Crane CH, Garrido-Laguna I, Lau MW, Johnson T, Krishnamurthi S, Moravek C, O Reilly EM, Philip PA, Pant S, Shah MA, Sahai V, Uronis HE, Zaidi N, Laheru D. Metastatic pancreatic cancer  ASCO clinical practice guideline update. J Clin Oncol. 2020 Sep 20;38(27) 3217-3230.  [29 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/32755482/  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]","https //ascopubs.org/doi/pdf/10.1200/JCO.20.01364","2020 Sep 20",2020
"668","Published",117,"Practical assessment and management of vulnerabilities in older patients receiving chemotherapy  ASCO guideline for geriatric oncology.",TRUE,"Mohile SG, Dale W, Somerfield MR, Schonberg MA, Boyd CM, Burhenn PS, Canin B, Cohen HJ, Holmes HM, Hopkins JO, Michelle C. Janelsins MC, Khorana AA, Klepin HD, Lichtman SM, Mustian KM, Tew WP, Hurria A. Practical assessment and management of vulnerabilities in older patients receiving chemotherapy  ASCO guideline for geriatric oncology. J Clin Oncol. 2018 Aug 1;36(22) 2326-47.  [174 references ] [PubMed](https //www.ncbi.nlm.nih.gov/pubmed/29782209  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]","http //ascopubs.org/doi/pdf/10.1200/JCO.2018.78.8687","2018 Aug 1",2018
"669","Published",193,"Final recommendation statement  syphilis infection in pregnant women  screening.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  syphilis infection in pregnant women  screening.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2018 Sep 4.  [29 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/syphilis-infection-in-pregnancy-screening","2018 Sep 4",2018
"670","Published",194,"Final recommendation statement  weight loss to prevent obesity-related morbidity and mortality in adults  behavioral interventions.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  weight loss to prevent obesity-related morbidity and mortality in adults  behavioral interventions.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2018 Sep 18.  [39 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/obesity-in-adults-interventions","2018 Sep 18",2018
"671","Published",195,"Final recommendation statement  cervical cancer  screening.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  cervical cancer  screening.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2018 Aug 21.  [66 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/cervical-cancer-screening","2018 Aug 21",2018
"672","Published",196,"Final recommendation statement  screening for atrial fibrillation.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  screening for atrial fibrillation.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2022 Jan 25.  [43 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/atrial-fibrillation-screening","2022 Jan 25",2022
"673","Published",197,"Final recommendation statement  cardiovascular disease  risk assessment with nontraditional risk factors.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  cardiovascular disease  risk assessment with nontraditional risk factors.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2018 Jul 10.  [44 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/cardiovascular-disease-screening-using-nontraditional-risk-assessment","2018 Jul 10",2018
"674","Published",198,"Final recommendation statement  peripheral artery disease and cardiovascular disease  screening and risk assessment with the ankle-brachial index.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  peripheral artery disease and cardiovascular disease  screening and risk assessment with the ankle-brachial index.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2018 Jul 10.  [33 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/peripheral-artery-disease-in-adults-screening-with-the-ankle-brachial-index","2018 Jul 10",2018
"675","Published",199,"Final recommendation statement  vitamin D, calcium, or combined supplementation for the primary prevention of fractures in community-dwelling adults  preventive medication.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  vitamin D, calcium, or combined supplementation for the primary prevention of fractures in community-dwelling adults  preventive medication.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2018 Apr 17.  [41 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/vitamin-d-calcium-or-combined-supplementation-for-the-primary-prevention-of-fractures-in-adults-preventive-medication","2018 Apr 17",2018
"676","Published",200,"Final recommendation statement  osteoporosis to prevent fractures  screening.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  osteoporosis to prevent fractures  screening.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2018 Jun 26.  [42 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/osteoporosis-screening","2018 Jun 26",2018
"677","Published",201,"Final recommendation statement  cardiovascular disease risk  screening with electrocardiography.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  cardiovascular disease risk  screening with electrocardiography.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2018 Jun 12.  [35 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/cardiovascular-disease-risk-screening-with-electrocardiography","2018 Jun 12",2018
"678","Published",202,"Final recommendation statement  prostate cancer  screening.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  prostate cancer  screening.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2018 May 8.  [43 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/prostate-cancer-screening","2018 May 8",2018
"679","Published",203,"Final recommendation statement  falls prevention in community-dwelling older adults  interventions.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  falls prevention in community-dwelling older adults  interventions.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2018 Apr 17.  [32 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/falls-prevention-in-older-adults-interventions","2018 Apr 17",2018
"680","Published",145,"Final recommendation statement  vitamin, mineral, and multivitamin supplementation to prevent cardiovascular disease and cancer  preventive medication.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  vitamin, mineral, and multivitamin supplementation to prevent cardiovascular disease and cancer  preventive medication.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2022 Jun 21.  [52 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //uspreventiveservicestaskforce.org/uspstf/recommendation/vitamin-supplementation-to-prevent-cvd-and-cancer-preventive-medication","2022 Jun 21",2022
"681","Published",204,"Management of osteoporosis and the prevention of fragility fractures. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Management of osteoporosis and the prevention of fragility fractures. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2021 Jan. 136 p. (SIGN publication; no. 142)  [400 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/media/1812/sign-142-osteoporosis-v3.pdf","2021 Jan",2021
"682","Published",205,"Pharmacological management of migraine. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Pharmacological management of migraine. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2018 Feb. 45 p. (SIGN publication; no. 155)  [113 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/media/1091/sign155.pdf","2018 Feb",2018
"683","Published",206,"Management of stable angina. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Management of stable angina. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2018 Apr. 69 p. (SIGN publication; no. 151)  [287 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/media/1088/sign151.pdf","2018 Apr",2018
"684","Archived",207,"Pharmacological management of glycaemic control in people with type 2 diabetes. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Pharmacological management of glycaemic control in people with type 2 diabetes. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2017 Nov. 50 p. (SIGN publication; no. 154)  [128 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/media/1090/sign154.pdf","2017 Nov",2017
"685","Published",208,"Cardiac arrhythmias in coronary heart disease. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Cardiac arrhythmias in coronary heart disease. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2018 Sep. 62 p. (SIGN publication; no. 152)  [243 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/media/1089/sign152.pdf","2018 Sep",2018
"686","Archived",209,"Cardiac rehabilitation. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Cardiac rehabilitation. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2017 Jul. 42 p. (SIGN publication; no. 150)  [118 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/media/1047/sign150.pdf","2017 Jul",2017
"687","Archived",210,"Risk estimation and the prevention of cardiovascular disease. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Risk estimation and the prevention of cardiovascular disease. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2017 Jun. 111 p. (SIGN publication; no. 149)  [362 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/media/1085/sign149.pdf","2017 Jun",2017
"688","Archived",211,"Cutaneous melanoma. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Cutaneous melanoma. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2017 Jan. 61 p. (SIGN publication; no. 146)  [273 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/media/1082/sign146.pdf","2017 Jan",2017
"689","Published",212,"British guideline on the management of asthma. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN), British Thoracic Society (BTS). British guideline on the management of asthma. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2019 July. 207 p. (SIGN publication; no. 158)  [974 references ]","[88f8c08bf65b314753f36d3c93902a25,a2c8384ec97da4ed6f31e7384b0d7eeb,]","[Scottish Intercollegiate Guidelines Network (SIGN), British Thoracic Society (BTS), ]","https //www.sign.ac.uk/media/1773/sign158-updated.pdf","2019 July",2019
"690","Archived",213,"Assessment, diagnosis and interventions for autism spectrum disorders. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Assessment, diagnosis and interventions for autism spectrum disorders. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2016 Jun. 76 p. (SIGN publication; no. 145)  [245 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/media/1081/sign145.pdf","2016 Jun",2016
"691","Archived",214,"Acute coronary syndrome. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Acute coronary syndrome. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2016 Apr. 59 p. (SIGN publication; no. 148)  [255 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/media/1084/sign148.pdf","2016 Apr",2016
"692","Archived",215,"Management of chronic heart failure. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Management of chronic heart failure. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2016 Mar. 75 p. (SIGN publication; no. 147)  [188 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/media/1083/sign147.pdf","2016 Mar",2016
"693","Published",233,"Assessment and interventions for perinatal depression, second edition.",TRUE,"Registered Nurses  Association of Ontario (RNAO). Assessment and interventions for perinatal depression, second edition. Toronto (ON)  Registered Nurses  Association of Ontario (RNAO); 2018 Oct. 163 p.  [231 references ]","[0c5ef0ec55c929341afd3871c9e283fe,]","[Registered Nurses  Association of Ontario (RNAO), ]","https //rnao.ca/sites/rnao-ca/files/bpg/Perinatal_Depression_FINAL_web.pdf","2018 Oct",2018
"694","Published",234,"Breastfeeding - promoting and supporting the initiation, exclusivity, and continuation of breastfeeding for newborns, infants, and young children, third edition.",TRUE,"Registered Nurses  Association of Ontario (RNAO). Breastfeeding - promoting and supporting the initiation, exclusivity, and continuation of breastfeeding for newborns, infants, and young children, third edition. Toronto (ON)  Registered Nurses  Association of Ontario (RNAO); 2018 Jul. 201 p.  [230 references ]","[0c5ef0ec55c929341afd3871c9e283fe,]","[Registered Nurses  Association of Ontario (RNAO), ]","https //rnao.ca/sites/rnao-ca/files/bpg/breast_feeding_BPG_WEB_updated_Oct_2_1.pdf","2018 Jul",2018
"695","Archived",235,"Working with families to promote safe sleep for infants 0-12 months of age.",FALSE,"Registered Nurses  Association of Ontario (RNAO). Working with families to promote safe sleep for infants 0-12 months of age. Toronto (ON)  Registered Nurses  Association of Ontario (RNAO); 2014 Feb. 88 p.  [221 references ]","[0c5ef0ec55c929341afd3871c9e283fe,]","[Registered Nurses  Association of Ontario (RNAO), ]","https //rnao.ca/sites/rnao-ca/files/PromoteSafeSleepForInfant.pdf","2014 Feb",2014
"696","Published",240,"Treatment of malignant pleural mesothelioma.",TRUE,"Kindler HL, Ismaila N, Armato III SG, Bueno R, Hesdorffer M, Jahan T, Jones CM, Miettinen M, Pass H, Rimner A, Rusch V, Sterman D, Thomas A, Hassan R. Treatment of malignant pleural mesothelioma  American Society of Clinical Oncology clinical practice guideline. J Clin Oncol. 2018 May 1;36(13) 1343-73.  [269 references ] [PubMed](https //www.ncbi.nlm.nih.gov/pubmed/29346042  PubMed )
","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]","http //ascopubs.org/doi/pdf/10.1200/JCO.2017.76.6394","2018 May 1",2018
"697","Published",246,"Evidence-based clinical practice guideline on nonrestorative treatments for carious lesions.",TRUE,"Slayton RL, Urquhart O, Araujo MWB, Fontana M, Guzmán-Armstrong S, Nascimento MM, Nový BB, Tinanoff N, Weyant RJ, Wolff MS, Young DA, Zero DT, Tampi MP, Pilcher L, Banfield L, Carrasco-Labra A. Evidence-based clinical practice guideline on nonrestorative treatments for carious lesions  a report from the American Dental Association. J Am Dent Assoc. 2018 Oct;149(10) 837-849.e19.  [69 references ] [PubMed](https //www.ncbi.nlm.nih.gov/pubmed/30261951  PubMed )
","[cd0899266153ece9c80c7f957e99cddc,]","[American Dental Association (ADA), ]","https //jada.ada.org/article/S0002-8177(18)30469-0/pdf","2018 Oct",2018
"698","Archived",274,"Clinical practice guidelines from the AABB  red blood cell transfusion thresholds and storage.",FALSE,"Carson JL, Guyatt G, Heddle NM, Grossman BJ, Cohn CS, Fung MK, Gernsheimer T, Holcomb JB, Kaplan LJ, Katz LM, Peterson N, Ramsey G, Rao SV, Roback JD, Shander A, Tobian AA. Clinical practice guidelines from the AABB  red blood cell transfusion thresholds and storage. JAMA. 2016 Nov 15;316(19) 2025-2035.  [112 references ] [PubMed](https //www.ncbi.nlm.nih.gov/pubmed/27732721)","[1ccf1afb99298bf05151daef06e43a80,]","[Association for the Advancement of Blood & Biotherapies (AABB), ]","https //jamanetwork.com/journals/jama/fullarticle/2569055","2016 Nov 15",2016
"699","Published",280,"The Society of Thoracic Surgeons, the Society of Cardiovascular Anesthesiologists, and the American Society of ExtraCorporeal Technology  clinical practice guidelines-anticoagulation during cardiopulmonary bypass.",FALSE,"Shore-Lesserson L, Baker RA, Ferraris VA, Greilich PE, Fitzgerald D, Roman P, Hammon JW. The Society of Thoracic Surgeons, the Society of Cardiovascular Anesthesiologists, and the American Society of ExtraCorporeal Technology  clinical practice guidelines-anticoagulation during cardiopulmonary bypass. Ann Thorac Surg. 2018 Feb;105(2) 650-662.  [118 references ] [PubMed](https //www.ncbi.nlm.nih.gov/pubmed/29362176  PubMed )","[f57a3b58f615213bec2f584ae67392f7,dad382e3aedd31b5fb123714523b3e89,7e0da0ff1d6435c5c95bfcbfc1802fa4,]","[Society of Thoracic Surgeons (STS), American Society of Extra-Corporeal Technology, Society of Cardiovascular Anesthesiologists (SCA), ]","https //www.sts.org/sites/default/files/documents/Anticoagulation-During-Cardiopulmonary-Bypass-Guideline-2018.pdf","2018 Feb",2018
"700","Archived",281,"The Society of Thoracic Surgeons clinical practice guidelines on arterial conduits for coronary artery bypass grafting.",FALSE,"Aldea GS, Bakaeen FG, Pal J, Fremes S, Head SJ, Sabik J, Rosengart T, Kappetein AP, Thourani VH, Firestone S, Mitchell JD, Society of Thoracic Surgeons. The Society of Thoracic Surgeons clinical practice guidelines on arterial conduits for coronary artery bypass grafting. Ann Thorac Surg. 2016 Feb;101(2) 801-9.  [105 references ] [PubMed](https //www.ncbi.nlm.nih.gov/pubmed/26680310  PubMed )","[f57a3b58f615213bec2f584ae67392f7,]","[Society of Thoracic Surgeons (STS), ]","https //www.sts.org/sites/default/files/documents/Guidelines_ArterialConduitsforCABG.pdf","2016 Feb",2016
"701","Archived",282,"The Society of Thoracic Surgeons practice guidelines on the role of multimodality treatment for cancer of the esophagus and gastroesophageal junction.",FALSE,"Little AG, Lerut AE, Harpole DH, Hofstetter WL, Mitchell JD, Altorki NK, Krasna MJ. The Society of Thoracic Surgeons practice guidelines on the role of multimodality treatment for cancer of the esophagus and gastroesophageal junction. Ann Thorac Surg. 2014 Nov;98(5) 1880-5.  [38 references ] [PubMed](https //www.ncbi.nlm.nih.gov/pubmed/25262396  PubMed )","[f57a3b58f615213bec2f584ae67392f7,]","[Society of Thoracic Surgeons (STS), ]","https //www.sts.org/sites/default/files/documents/GuidelinesMultimodalityforEsophagealCancer.pdf","2014 Nov",2014
"702","Archived",285,"KDIGO clinical practice guideline on the evaluation and care of living kidney donors.",TRUE,"Lentine KL, Kasiske BL, Levey AS, Adams PL, Alberú J, Bakr MA, Gallon L, Garvey CA, Guleria S, Li PK, Segev DL, Taler SJ, Tanabe K, Wright L, Zeier MG, Cheung M, Garg AX. KDIGO clinical practice guideline on the evaluation and care of living kidney donors. Transplantation. 2017 Aug;101(8S Suppl 1) S1-S109.  [539 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/28742762/  PubMed )","[10b5f1289c485c2582a9a7621329ae93,]","[Kidney Disease  Improving Global Outcomes (KDIGO), ]","https //kdigo.org/wp-content/uploads/2017/07/2017-KDIGO-LD-GL.pdf","2017 Aug",2017
"703","Published",286,"KDIGO 2022 clinical practice guideline for the prevention, diagnosis, evaluation, and treatment of hepatitis C in chronic kidney disease.",FALSE,"Kidney Disease  Improving Global Outcomes (KDIGO) Hepatitis C Work Group. KDIGO 2022 clinical practice guideline for the prevention, diagnosis, evaluation, and treatment of hepatitis C in chronic kidney disease. Kidney Int. 2022 Dec;102(6S) S129-S205.  [346 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/36410841/  PubMed )","[10b5f1289c485c2582a9a7621329ae93,]","[Kidney Disease  Improving Global Outcomes (KDIGO), ]","https //kdigo.org/wp-content/uploads/2022/11/KDIGO-2022-Hepatitis-C-in-CKD-Guideline.pdf","2022 Dec",2022
"704","Published",289,"Guideline for concussion/mild traumatic brain injury and persistent symptoms.",TRUE,"Ontario Neurotrauma Foundation. Guideline for concussion/mild traumatic brain injury and persistent symptoms. Toronto (Canada)  Ontario Neurotrauma Foundation; 2018 May. 244 p.  [45 references ]","[42947c178f9888d6399005fb951c74c5,]","[Ontario Neurotrauma Foundation, ]","http //braininjuryguidelines.org/concussion/","2018 May",2018
"705","Published",291,"Final recommendation statement  intimate partner violence, elder abuse, and abuse of vulnerable adults  screening.",TRUE,"U.S. Preventive Services Task Force (USPSTF). Final recommendation statement  intimate partner violence, elder abuse, and abuse of vulnerable adults  screening.  [internet ]. Rockville (MD)  U.S. Preventive Services Task Force (USPSTF); 2018 Oct 23.  [64 references ]","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","https //www.uspreventiveservicestaskforce.org/uspstf/recommendation/intimate-partner-violence-and-abuse-of-elderly-and-vulnerable-adults-screening","2018 Oct 23",2018
"706","Archived",294,"Clinical practice guideline for screening and management of high blood pressure in children and adolescents.",TRUE,"Flynn JT, Kaelber DC, Baker-Smith CM, Blowey D, Carroll AE, Daniels SR, de Ferranti SD, Dionne JM, Falkner B, Flinn SK, Gidding SS, Goodwin C, Leu MG, Powers ME, Rea C, Samuels J, Simasek M, Thaker VV, Urbina EM, Subcommittee on Screening and Management of High Blood Pressure in Children. Clinical practice guideline for screening and management of high blood pressure in children and adolescents. Pediatrics. 2017 Sep;140(3). pii  e20171904.  [570 references ] [PubMed](https //www.ncbi.nlm.nih.gov/pubmed/28827377  PubMed )","[bb36d620b75854301c7144d0cafb25c8,]","[American Academy of Pediatrics (AAP), ]","http //pediatrics.aappublications.org/content/pediatrics/140/3/e20171904.full.pdf","2017 Sep",2017
"707","Archived",295,"Reaffirmation of AAP clinical practice guideline  the diagnosis and management of the initial urinary tract infection in febrile infants and young children 2–24 months of age.",FALSE,"Subcommittee on Urinary Tract Infection. Reaffirmation of AAP clinical practice guideline  the diagnosis and management of the initial urinary tract infection in febrile infants and young children 2–24 months of age. Pediatrics. 2016 Dec;138(6). pii  e20163026.  [17 references ] [PubMed](https //www.ncbi.nlm.nih.gov/pubmed/27940735  PubMed )","[bb36d620b75854301c7144d0cafb25c8,]","[American Academy of Pediatrics (AAP), ]","http //pediatrics.aappublications.org/content/pediatrics/138/6/e20163026.full.pdf","2016 Dec",2016
"708","Published",277,"Clinical policy  critical issues in the evaluation and  management of emergency department patients with suspected non–ST-elevation acute coronary syndromes.",TRUE,"Tomaszewski CA, Nestler D, Shah KH, Sudhir A, Brown MD, American College of Emergency Physicians. Clinical policy  critical issues in the evaluation and management of emergency department patients with suspected non&ndash;ST-elevation acute coronary syndromes. Ann Emerg Med. 2018 Nov;72(5) e65-e106.  [104 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/30342745  PubMed )","[7fa8679a94bc72aa7da73fc8741c0997,]","[American College of Emergency Physicians (ACEP), ]","https //www.annemergmed.com/article/S0196-0644(18)30678-4/pdf","2018 Nov",2018
"709","Published",296,"Guidelines on second- and third-line medicines and type of insulin for the control of blood glucose levels in non-pregnant adults with diabetes mellitus.",TRUE,"World Health Organization (WHO). Guidelines on second- and third-line medicines and type of insulin for the control of blood glucose levels in non-pregnant adults with diabetes mellitus. Geneva (Switzerland)  World Health Organization (WHO); 2018. 69 p.  [24 references ]","[4dae77f6329f57c8a923a1c944661c1f,]","[World Health Organization (WHO), ]","http //apps.who.int/iris/bitstream/handle/10665/272433/9789241550284-eng.pdf?ua=1","2018",2018
"710","Published",297,"WHO recommendations non-clinical interventions to reduce unnecessary caesarean sections.",TRUE,"World Health Organization (WHO). WHO recommendations non-clinical interventions to reduce unnecessary caesarean sections. Geneva (Switzerland)  World Health Organization (WHO); 2018. 79 p.  [105 references ]","[4dae77f6329f57c8a923a1c944661c1f,]","[World Health Organization (WHO), ]","http //apps.who.int/iris/bitstream/handle/10665/275377/9789241550338-eng.pdf?ua=1","2018",2018
"711","Published",298,"Comparison of pregnancy rates for poor responders using IVF with mild ovarian stimulation versus conventional IVF.",TRUE,"Practice Committee of the American Society for Reproductive Medicine. Comparison of pregnancy rates for poor responders using IVF with mild ovarian stimulation versus conventional IVF  a guideline. Fertil Steril. 2018 Jun;109(6) 993-9.  [26 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/29935660  PubMed )","[0409a8b3c848558e4cd0b7a1ee7ffa8a,]","[American Society for Reproductive Medicine (ASRM), ]","https //www.asrm.org/globalassets/asrm/asrm-content/news-and-publications/practice-guidelines/for-non-members/comparison-of-pregnancy-rates-for-poor-responders-using-ivf-with-mild-ovarian-stimulation.pdf","2018 Jun",2018
